input_csv,image_path,idx_in_cluster,description,objects,objects_not_found
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_0/cluster_items_objects_np.csv,Images/London/London_0000036_2018_01_203_51.48525228960523_-0.1545257203045481_-2yptwsyjUtdaqwjpk2R5A.jpg,1,"Bare tree branches, low brick wall, black metal park fence, street lamp post, green grass, ornate black wrought iron park gates, left grey stone pillar with urn finial, red sign board, right grey stone pillar with urn finial, red circular sign, informational boards on gate, row of red brick buildings in background, wet asphalt street with red double lines, circular '50' sign.",wall. fence. post. grass. gate. pillar. finial. board. sign. building. street,board
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_0/cluster_items_objects_np.csv,Images/London/London_0000036_2012_04_210_51.48525499318018_-0.1545251151514077_5tiqaIG3Cn1G1jchMpDisw.jpg,2,"Asphalt road with double red lines on curb, bare tree, black bollard, low brick wall, black iron fence, red park sign, black ornate lamp post, left ornate white stone gate pillar with red panel and finial, black iron gate, right ornate white stone gate pillar with red panel and finial, extending black iron fence, green metal barrier, grassy park with trees, overcast sky.",road. curb. tree. wall. fence. sign. post. pillar. panel. finial. gate. barrier. park. sky,panel. barrier
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_0/cluster_items_objects_np.csv,Images/London/London_0000035_2012_04_285_51.48522246689163_-0.1545792463649208_JgLrinjF4jUZkOby06JHxQ.jpg,3,"Gray asphalt road with white line markings and double red lines, black ornate bollard, low reddish-brown brick wall, black metal fence, red rectangular sign, bare deciduous tree, black metal pedestrian gate, pale stone gate pillar with ornate finial and red ""10"" plaque, left black wrought iron main gate, yellow and black striped barrier arm, right black wrought iron main gate, pale stone gate pillar with ornate finial and red ""10"" plaque, curved green metal railing, black ornate bollard, paved driveway beyond gates, vast green grassy field, buildings in the distance including one with a tall spire.",wall. fence. tree. gate. pillar. plaque. bollard. driveway. building. spire,plaque. driveway
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_0/cluster_items_objects_np.csv,Images/London/London_0000035_2020_11_278_51.4852162263136_-0.154598906814028_Bujir8Ga0ZP7qzUcicQq4Q.jpg,4,"Large bare deciduous tree, black metal fence on a brick wall base, red information board, small white 'SYKES' sign, another small white sign, stone gatepost with a decorative finial, large ornate black metal gate, paved driveway, stone gatepost with a decorative finial, bare deciduous tree, long row of multi-story red-brick buildings with numerous windows in the background, green field beyond the fence and gate, cobblestone path in the foreground.",tree. fence. building. field. path,path
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_0/cluster_items_objects_np.csv,Images/London/London_0000035_2017_09_283_51.48521530414475_-0.1545894923105295_Hi3Rt90czdyEFS7p7Fw0IQ.jpg,8,"Paved sidewalk with a black bollard, low brick wall topped by a dark metal fence, grassy lawn featuring a red rectangular sign on a pole, large mature tree with broad leaves and numerous long hanging seed pods, ornate stone gate pillar with a finial, black metal gates, a red pillar-like structure, paved driveway leading to multi-story red brick institutional buildings with many windows and light-colored architectural details.",wall. fence. lawn. tree. leaf. pod. pillar. gate. structure. driveway. building. window,pod. structure. driveway
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_0/cluster_items_objects_np.csv,Images/London/London_0000035_2017_03_286_51.4852034336205_-0.1546141461337459_hyjh7stZRcgf4eY0X902kQ.jpg,11,"Bare-branched tree, low brick wall, black metal fence, grassy lawn, red information board, grand entrance gate with two tall light-colored stone pillars topped with urn finials and intricate black wrought-iron gates, black bollard on paved sidewalk, another bare-branched tree, distant large multi-winged classical building with chimneys, distant obelisk/column-like structure.",wall. fence. lawn. building. chimney. structure,structure
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1/cluster_items_objects_np.csv,Images/London/London_0000035_2015_10_091_51.4852098233638_-0.1545983495444977_J39TheHghAhJjYphpvqKFw.jpg,0,"Asphalt road with white painted lines and a red curb line, black ornate street lamp with a circular sign, pavement with scattered leaves, short black bollard, low red brick wall topped with an ornate black metal fence, grassy area behind the fence, large tree trunk, reddish-brown sign board on a pole, grand entrance gateway with two tall stone pillars topped with urn-like finials, ornate black metal gates, dark green utility box behind the left gate, small red square sign on the right gate pillar, multiple yellow and white signs attached to the right gate, distant large brick buildings, overhanging tree branches with leaves.",road. pavement. wall. fence. gate. building. branch,branch
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_100/cluster_items_objects_np.csv,Images/London/London_0000061_2017_07_127_51.4862328932744_-0.1377246151444699_odeF93I4VTBgLguEfJn0VA.jpg,2,"Leftmost green street tree, white terraced house with black iron basement railings, white terraced house with black front door, white pillars, and black and white checkered steps, white terraced house with black front door and white pillars, green street tree, row of white terraced houses with ornate balustrades and sash windows, multiple green street trees, gray flagstone pavement, asphalt road with dashed white lines, asphalt road with continuous white line.",tree. house. door. pillar. step. pavement. road,house
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_100/cluster_items_objects_np.csv,Images/London/London_0000061_2015_09_123_51.48622864556227_-0.1377359858665475_d9rvyCSuXT8Gh7NpekkNOQ.jpg,3,"Small green tree, black wrought iron railings, a continuous row of multi-story terraced houses with varied light-colored facades (cream, off-white, pale blue), each featuring tall white-framed sash windows, a first-floor white balustrade balcony, and a ground-floor entrance with a columnar portico, another small green tree, a tall black street light pole, asphalt roadway with white painted lines, paved sidewalk.",tree. facade. roadway. sidewalk,roadway
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_100/cluster_items_objects_np.csv,Images/London/London_0000061_2016_10_130_51.48624102351818_-0.1377179174659046_Cmni3dRDoEUlRRE3BJ0dEg.jpg,4,"White multi-story terraced houses with sash windows, first-floor white balustrade balconies, and ground-floor columned portico entrances, with dark door numbers 60 and 62 visible, black metal railings in front of houses, paved sidewalk with regularly spaced green trees, asphalt road with white dashed lane markings.",house. sidewalk. tree,house
